entry1	entry2	type
00061_66	00061_132	ECrel
00061_66	00061_120	ECrel
00061_66	00061_108	ECrel
00061_66	00061_96	ECrel
00061_66	00061_84	ECrel
00061_64	00061_132	ECrel
00061_63	00061_132	ECrel
00061_62	00061_132	ECrel
00061_61	00061_132	ECrel
00061_52	00061_132	ECrel
00061_65	00061_120	ECrel
00061_65	00061_108	ECrel
00061_65	00061_96	ECrel
00061_65	00061_84	ECrel
00061_63	00061_120	ECrel
00061_62	00061_120	ECrel
00061_61	00061_120	ECrel
00061_52	00061_120	ECrel
00061_64	00061_108	ECrel
00061_64	00061_96	ECrel
00061_64	00061_84	ECrel
00061_62	00061_108	ECrel
00061_61	00061_108	ECrel
00061_52	00061_108	ECrel
00061_63	00061_96	ECrel
00061_63	00061_84	ECrel
00061_61	00061_96	ECrel
00061_52	00061_96	ECrel
00061_62	00061_84	ECrel
00061_52	00061_84	ECrel
00061_66	00061_141	ECrel
00061_65	00061_135	ECrel
00061_65	00061_129	ECrel
00061_64	00061_117	ECrel
00061_64	00061_123	ECrel
00061_63	00061_111	ECrel
00061_63	00061_105	ECrel
00061_62	00061_99	ECrel
00061_62	00061_93	ECrel
00061_58	00061_87	ECrel
00061_61	00061_87	ECrel
00061_36	00061_61	ECrel
00061_58	00061_84	ECrel
00061_58	00061_61	ECrel
00061_61	00061_81	ECrel
00061_71	00061_75	ECrel
00061_52	00061_75	ECrel
00061_52	00061_72	ECrel
00061_52	00061_71	ECrel
00061_99	00061_57	ECrel
00061_96	00061_57	ECrel
00061_62	00061_57	ECrel
00061_163	00061_70	maplink
00061_161	00061_70	maplink
00061_163	00061_69	maplink
00061_163	00061_164	maplink
00061_158	00061_69	maplink
00061_158	00061_164	maplink
00061_156	00061_69	maplink
00061_156	00061_164	maplink
00061_69	00061_164	maplink
00061_161	00061_280	ECrel
00061_280	00061_153	ECrel
00061_158	00061_280	ECrel
00061_156	00061_280	ECrel
00061_280	00061_143	ECrel
00061_280	00061_132	ECrel
00061_280	00061_120	ECrel
00061_280	00061_108	ECrel
00061_280	00061_96	ECrel
00061_280	00061_84	ECrel
00062_59	00062_60	ECrel
00062_54	00062_60	ECrel
00062_53	00062_59	ECrel
00062_53	00062_54	ECrel
00062_52	00062_53	ECrel
00062_51	00062_52	ECrel
00062_50	00062_51	ECrel
00062_49	00062_51	ECrel
00062_48	00062_50	ECrel
00062_48	00062_49	ECrel
00062_47	00062_48	ECrel
00062_46	00062_47	ECrel
00062_45	00062_46	ECrel
00062_44	00062_46	ECrel
00062_43	00062_45	ECrel
00062_43	00062_44	ECrel
00062_42	00062_43	ECrel
00062_41	00062_42	ECrel
